Study.Name	PlotOrder	Inclusion	HA.Analysis	RA.Analysis	Study.Number	Short.Citation	from Blaustein?	Host.Species	Host.Collection.Location	local or endemic Bd strain	Local Lineage	where local/endemic strain collected	non-local or non-endemic Bd strain	non-local Lineage	where non-local strain collected	outcome of local strain infection	outcome of non-local strain infection	mortality.local.or.endemic.Bd	n.local.or.endemic.Bd	mortality.nonlocal.or.pandemic.Bd	n.nonlocal.or.pandemic.Bd	Historical.coexistence	host.adult.ecology	reproductive.mode	life.stage.exp	exposure dose	comments	Control.mortality	Amount.Cont.mortality
Bufo bufo.3b	N	Yes	Y	N	3b	Farrer et al. 2011 PNAS		Bufo bufo	UK	MallorcaCAPE(multi)	BdCAPE	Mallorca	GPL-IA#	Bd-GPL	Spain	"Yes (varied by isolate, overall lower than GPL);CCB1, TF5a1 and TF1.1 (Mallorca, BdCAPE lineage)"	"Yes (varied by isolate, overall higher than CAPE);Isolates used were IA042, IA043, 0711 (Pyrenees, BdGPL), VAo2, VAo4, VAo5 (Valencia, BdGPL lineage)"	19.3867458	105	30.4	105	No	terrestrial	"aquatic,tadpole"	larvae	"3,000–17,000 active zoospores per exposure in liquid media of Bd zoospores every 4 d for a total of eight times"	exposure as tadpole; measuring metamorph survival; All are technically not local to the UK	Yes	10.98
Rana sylvatica.4a	M	Yes	Y	N	4a	Becker et al 2017 FuncEco	N	Rana sylvatica	Maine	UM142	Bd-Brazil	"Ypsilanti, MI, USA (market)"	JEL 404/JEL 258	Bd-GPL	US	"Yes, mortality"	"Yes, mortality"	52.3206751	80	72.23628695	80	No	terrestrial	"aquatic,tadpole"	larvae	Bd inoculations were performed on day 0 and on day 17 using 106 zoospores per tank.	10 tadpoles each in 4 tanks	Yes	4.7
Bufo bufo.5a	L	Yes	Y	N	5a	O'Hanlon et al. 2018 Science		Bufo bufo	United Kingdom	Bd-CH	Bd-CH		Bd-GPL (strain name not given)	Bd-GPL	unclear - did global sampling but did not report where any isolates used in experiment were collected		Bd-GPL was most virulent (~60 survival)	9.9009901	60	36.6336634	60	No	terrestrial	"aquatic,tadpole"	metamorph	"five doses - 10,000-36,000 (mean 20,200 ± std. dev. 10,639) active zoospores per exposure in liquid media of Bd zoospores every 4 days"		Yes	11.93
Bufo bufo.5b	K	Yes	Y	N	5b	O'Hanlon et al. 2018 Science		Bufo bufo	United Kingdom	Bd-Cape	Bd-Cape		Bd-GPL (strain name not given)	Bd-GPL	unclear - did global sampling but did not report where any isolates used in experiment were collected		Bd-GPL was most virulent (~60 survival)	12.4752475	60	36.6336634	60	No	terrestrial	"aquatic,tadpole"	metamorph	"five doses - 10,000-36,000 (mean 20,200 ± std. dev. 10,639) active zoospores per exposure in liquid media of Bd zoospores every 4 days"		Yes	11.93
Bufo bufo.5c	J	Yes	Y	N	5c	O'Hanlon et al. 2018 Science		Bufo bufo	United Kingdom	Bd-Asia1	Bd-Asia1		Bd-GPL (strain name not given)	Bd-GPL	unclear - did global sampling but did not report where any isolates used in experiment were collected	Bd-Asia1 was least virulent (~90 survival)	Bd-GPL was most virulent (~60 survival)	7.7227723	60	36.6336634	60	No	terrestrial	"aquatic,tadpole"	metamorph	"five doses - 10,000-36,000 (mean 20,200 ± std. dev. 10,639) active zoospores per exposure in liquid media of Bd zoospores every 4 days"		Yes	11.93
Bombina orientalis.6a	I	Yes	Y	N	6a	Fu and Waldman 2019 Molecular Ecology	N	Bombina orientalis	South Korea	Bd-Asia1	Bd-Asia1	South Korea	Abercrombie R-L. booroolongensis	Bd-GPL	"New South Wales, Australia"	low virulence/susceptibility; Bd loads stayed moderately low but infection not cleared; suggests tolerance	low virulence/susceptibility; Bd loads stayed moderately low but infection not cleared; suggests tolerance	0	15	7.692307692	13	Yes	aquatic	"aquatic, tadpole"	adult	8 x 10^5 zoospores + 10 ml UV filtered water		Yes	6.7
Brachycephalus ephippium.7a	H	Yes	Y	N	7a	Greenspan et al. 2019 Scientific Reports	N	Brachycephalus ephippium	Brazilian Atlantic Forest	CLFT150	Bd-Brazil	Brazilian Atlantic Forest	CLFT156	Bd-GPL	Brazilian Atlantic Forest	less virulent - greater survival (80)	more virulent - less survival (30)	22	9	67	9	Yes	terrestrial	direct development	adult	1.8 _ 10^6 zoospores in 2.5 ml of distilled water for 45 minutes		No	0
Brachycephalus pitanga.9	G	Yes	Y	N	9	McDonald PhD Thesis		Brachycephalus pitanga	Brazilian Atlantic Forest	CLFT001	Bd-Brazil	Brazilian Atlantic Forest	CLFT159	Bd-GPL	Brazilian Atlantic Forest			20	26	50	26	Yes	terrestrial	direct development	adult	3.9x10 6 zoospores		No	0
Dendropsophus minutus.7b	F	Yes	Y	N	7b	Greenspan et al. 2019 Scientific Reports	N	Dendropsophus minutus	Brazilian Atlantic Forest	"three Bd-Brazil isolates (CLFT 041, CLFT 142, CLFT 150)"	Bd-Brazil	Brazilian Atlantic Forest	CLFT073	Bd-GPL	Brazilian Atlantic Forest	"moderate survival (40), low to moderate infection loads (~10^3)"	"moderate survival (47), moderate to high infection loads (10^4-10^5)"	40	30	40	10	Yes	arboreal	"aquatic, tadpole"	adult	1.8 _ 10^6 zoospores in 2.5 ml of distilled water for 45 minutes		Yes	15
Dendropsophus minutus.7c	E	Yes	Y	N	7c	Greenspan et al. 2019 Scientific Reports	N	Dendropsophus minutus	Brazilian Atlantic Forest	"three Bd-Brazil isolates (CLFT 041, CLFT 142, CLFT 150)"	Bd-Brazil	Brazilian Atlantic Forest	CLFT131	Bd-GPL	Brazilian Atlantic Forest	"moderate survival (40), low to moderate infection loads (~10^3)"	"moderate survival (47), moderate to high infection loads (10^4-10^5)"	40	30	50	10	Yes	arboreal	"aquatic, tadpole"	adult	1.8 _ 10^6 zoospores in 2.5 ml of distilled water for 45 minutes		Yes	15
